model,R2,R2_fold_mean,R2_fold_std,RMSE,MAE,RPD,RPIQ,n,element,date,feature_set,n_features
PLSR,-5111.5250,-8779.6958,17505.5790,117.8815,20.6940,0.0100,0.0100,55.0000,Cu_мг_кг,date2,pca_10,10
PLSR,0.0474,-0.4910,1.0896,66.5977,57.3899,1.0200,1.4400,60.0000,Fe_мг_кг,date1,cars_spa,25
RF,-0.0374,-0.0668,0.1001,113.2862,85.8939,0.9800,1.2400,55.0000,Fe_мг_кг,date2,deriv1_snv,300
SVR,-0.0479,-0.0447,0.0692,113.8601,86.7892,0.9800,1.2300,55.0000,Fe_мг_кг,date2,raw_smooth,300
SVR,-0.0480,-0.0447,0.0693,113.8644,86.8412,0.9800,1.2300,55.0000,Fe_мг_кг,date2,vip,114
SVR,-0.0502,-0.0465,0.0700,113.9863,86.7352,0.9800,1.2300,55.0000,Fe_мг_кг,date2,deriv1_snv,300
SVR,-0.0514,-0.0485,0.0684,114.0475,86.9520,0.9800,1.2300,55.0000,Fe_мг_кг,date2,pca_10,10
SVR,-0.0526,-0.0476,0.0732,114.1135,86.3796,0.9700,1.2300,55.0000,Fe_мг_кг,date2,hyper_idx,24
ElasticNet,-0.0773,-0.0924,0.0936,115.4452,92.2191,0.9600,1.2200,55.0000,Fe_мг_кг,date2,vip,114
GBR,-0.1126,-0.1605,0.2540,117.3221,89.2017,0.9500,1.2000,55.0000,Fe_мг_кг,date2,deriv1_snv,300
ElasticNet,-0.1296,-0.1630,0.2170,118.2157,94.1817,0.9400,1.1900,55.0000,Fe_мг_кг,date2,raw_smooth,300
ElasticNet,-0.1364,-0.4839,0.5364,72.7381,58.6060,0.9400,1.3200,60.0000,Fe_мг_кг,date1,cars_spa,25
SVR,-0.1590,-0.4390,0.4701,73.4601,59.3439,0.9300,1.3100,60.0000,Fe_мг_кг,date1,raw_smooth,300
SVR,-0.1601,-0.4472,0.4793,73.4936,59.4730,0.9300,1.3100,60.0000,Fe_мг_кг,date1,vip,59
GBR,-0.1612,-0.5126,0.6228,73.5290,54.9160,0.9300,1.3100,60.0000,Fe_мг_кг,date1,cars_spa,25
SVR,-0.1633,-0.4413,0.4712,73.5939,59.3573,0.9300,1.3100,60.0000,Fe_мг_кг,date1,cars_spa,25
RF,-0.1777,-0.2668,0.3524,120.7050,92.1685,0.9200,1.1600,55.0000,Fe_мг_кг,date2,vip,114
ElasticNet,-0.1803,-0.6326,0.6957,74.1307,59.3891,0.9200,1.3000,60.0000,Fe_мг_кг,date1,pca_10,10
SVR,-0.1812,-0.4847,0.5102,74.1589,60.2642,0.9200,1.3000,60.0000,Fe_мг_кг,date1,pca_10,10
SVR,-0.1841,-0.4933,0.5309,74.2514,60.4125,0.9200,1.3000,60.0000,Fe_мг_кг,date1,deriv1_snv,300
SVR,-0.1872,-0.4936,0.5287,74.3476,60.3034,0.9200,1.2900,60.0000,Fe_мг_кг,date1,hyper_idx,24
ElasticNet,-0.1926,-0.2390,0.2529,121.4667,96.4900,0.9200,1.1600,55.0000,Fe_мг_кг,date2,pca_10,10
RF,-0.2041,-0.6780,0.8289,74.8735,58.5297,0.9100,1.2800,60.0000,Fe_мг_кг,date1,cars_spa,25
RF,-0.2174,-0.2485,0.2820,122.7206,94.5513,0.9100,1.1400,55.0000,Fe_мг_кг,date2,raw_smooth,300
RF,-0.2182,-0.6366,0.6373,75.3110,60.9715,0.9100,1.2800,60.0000,Fe_мг_кг,date1,deriv1_snv,300
XGBoost,-0.2199,-0.3912,0.6959,122.8491,90.6882,0.9100,1.1400,55.0000,Fe_мг_кг,date2,deriv1_snv,300
XGBoost,-0.2514,-0.8425,1.1527,76.3309,59.9991,0.8900,1.2600,60.0000,Fe_мг_кг,date1,cars_spa,25
RF,-0.2613,-0.4359,0.5299,124.9151,103.8169,0.8900,1.1200,55.0000,Fe_мг_кг,date2,pca_10,10
RF,-0.2892,-0.9698,1.2664,77.4740,61.6677,0.8800,1.2400,60.0000,Fe_мг_кг,date1,pca_10,10
RF,-0.2933,-0.4271,0.4059,126.4919,98.4752,0.8800,1.1100,55.0000,Fe_мг_кг,date2,hyper_idx,24
ElasticNet,-0.3069,-0.7648,0.7317,78.0044,63.2582,0.8700,1.2300,60.0000,Fe_мг_кг,date1,raw_smooth,300
XGBoost,-0.3106,-0.3942,0.4688,127.3338,95.4851,0.8700,1.1000,55.0000,Fe_мг_кг,date2,vip,114
GBR,-0.3154,-0.4376,0.5858,127.5663,91.0392,0.8700,1.1000,55.0000,Fe_мг_кг,date2,vip,114
RF,-0.3240,-0.7249,0.6085,78.5155,62.4930,0.8700,1.2300,60.0000,Fe_мг_кг,date1,raw_smooth,300
PLSR,-0.3379,-0.9403,0.9462,78.9246,62.3846,0.8600,1.2200,60.0000,Fe_мг_кг,date1,pca_10,10
ElasticNet,-0.3523,-0.8115,0.7740,79.3495,63.1619,0.8600,1.2100,60.0000,Fe_мг_кг,date1,vip,59
GBR,-0.3677,-0.6990,0.5018,79.7996,64.6512,0.8600,1.2100,60.0000,Fe_мг_кг,date1,raw_smooth,300
GBR,-0.3701,-0.5983,0.5975,130.1939,106.6389,0.8500,1.0800,55.0000,Fe_мг_кг,date2,pca_10,10
RF,-0.3937,-0.7536,0.5420,80.5551,64.2980,0.8500,1.1900,60.0000,Fe_мг_кг,date1,vip,59
GBR,-0.4133,-0.9312,0.9561,81.1178,64.7173,0.8400,1.1900,60.0000,Fe_мг_кг,date1,deriv1_snv,300
XGBoost,-0.4454,-0.4943,0.6654,133.7235,99.1554,0.8300,1.0500,55.0000,Fe_мг_кг,date2,raw_smooth,300
GBR,-0.4639,-0.5331,0.5301,134.5746,100.0717,0.8300,1.0400,55.0000,Fe_мг_кг,date2,raw_smooth,300
GBR,-0.4675,-1.3300,1.5621,82.6595,65.1035,0.8300,1.1600,60.0000,Fe_мг_кг,date1,pca_10,10
XGBoost,-0.4801,-0.7338,0.7661,135.3196,107.2292,0.8200,1.0400,55.0000,Fe_мг_кг,date2,pca_10,10
RF,-0.4907,-1.3275,1.5170,83.3117,68.1359,0.8200,1.1500,60.0000,Fe_мг_кг,date1,hyper_idx,24
GBR,-0.5081,-0.7742,0.3710,83.7958,65.6003,0.8100,1.1500,60.0000,Fe_мг_кг,date1,vip,59
XGBoost,-0.5277,-0.8181,1.0123,137.4768,111.4787,0.8100,1.0200,55.0000,Fe_мг_кг,date2,hyper_idx,24
GBR,-0.5301,-0.6646,0.5108,137.5842,108.3626,0.8100,1.0200,55.0000,Fe_мг_кг,date2,hyper_idx,24
XGBoost,-0.5663,-0.9909,0.4988,85.3959,68.4799,0.8000,1.1300,60.0000,Fe_мг_кг,date1,deriv1_snv,300
XGBoost,-0.5834,-1.6474,2.2410,85.8609,67.0844,0.7900,1.1200,60.0000,Fe_мг_кг,date1,pca_10,10
XGBoost,-0.6513,-1.5103,1.4138,87.6827,69.1232,0.7800,1.1000,60.0000,Fe_мг_кг,date1,hyper_idx,24
XGBoost,-0.6908,-1.0899,0.4559,88.7266,67.7564,0.7700,1.0800,60.0000,Fe_мг_кг,date1,raw_smooth,300
ElasticNet,-0.7250,-0.9031,0.9871,146.0845,112.1852,0.7600,0.9600,55.0000,Fe_мг_кг,date2,hyper_idx,24
ElasticNet,-0.7446,-1.6314,1.5095,90.1254,74.2920,0.7600,1.0700,60.0000,Fe_мг_кг,date1,deriv1_snv,300
XGBoost,-0.7672,-1.2096,0.4728,90.7082,71.7509,0.7500,1.0600,60.0000,Fe_мг_кг,date1,vip,59
PLSR,-0.8685,-1.6363,1.1782,93.2728,71.9917,0.7300,1.0300,60.0000,Fe_мг_кг,date1,vip,59
GBR,-0.9099,-1.9764,1.8600,94.2992,76.5058,0.7200,1.0200,60.0000,Fe_мг_кг,date1,hyper_idx,24
PLSR,-1.9137,-3.9275,3.8702,116.4733,92.0213,0.5900,0.8300,60.0000,Fe_мг_кг,date1,raw_smooth,300
ElasticNet,-2.9852,-5.6199,10.1383,222.0417,124.4755,0.5000,0.6300,55.0000,Fe_мг_кг,date2,deriv1_snv,300
PLSR,-3.0649,-5.5140,4.6694,137.5711,105.7534,0.5000,0.7000,60.0000,Fe_мг_кг,date1,deriv1_snv,300
PLSR,-10.8927,-14.7186,19.2002,383.5746,218.6666,0.2900,0.3700,55.0000,Fe_мг_кг,date2,hyper_idx,24
PLSR,-20.4747,-38.4061,67.3814,515.4337,211.3812,0.2200,0.2700,55.0000,Fe_мг_кг,date2,deriv1_snv,300
PLSR,-121.3509,-155.2147,259.7005,1230.3050,349.4268,0.0900,0.1100,55.0000,Fe_мг_кг,date2,raw_smooth,300
PLSR,-128.3254,-169.7069,257.0825,1264.8852,345.3808,0.0900,0.1100,55.0000,Fe_мг_кг,date2,vip,114
ElasticNet,-203.9565,-291.4849,581.4815,976.8659,184.2956,0.0700,0.1000,60.0000,Fe_мг_кг,date1,hyper_idx,24
PLSR,-1122.0552,-1357.0404,2712.1498,3727.4325,805.2248,0.0300,0.0400,55.0000,Fe_мг_кг,date2,pca_10,10
PLSR,-7044.5157,-10053.8399,20104.6054,5727.4389,806.9043,0.0100,0.0200,60.0000,Fe_мг_кг,date1,hyper_idx,24
SVR,0.1852,0.0718,0.1635,0.6346,0.5136,1.1100,1.6500,60.0000,K_%,date1,hyper_idx,24
RF,0.1714,0.0967,0.0764,0.6399,0.5094,1.1000,1.6400,60.0000,K_%,date1,hyper_idx,24
GBR,0.0774,-0.0803,0.2902,0.6753,0.5391,1.0400,1.5500,60.0000,K_%,date1,vip,64
SVR,0.0187,-0.1313,0.1511,0.6964,0.5785,1.0100,1.5000,60.0000,K_%,date1,raw_smooth,300
SVR,-0.0068,-0.1727,0.2437,0.7054,0.5708,1.0000,1.4800,60.0000,K_%,date1,pca_10,10
GBR,-0.0100,-0.1661,0.1339,0.7065,0.5725,1.0000,1.4800,60.0000,K_%,date1,raw_smooth,300
RF,-0.0136,-0.1779,0.2249,0.7078,0.5659,0.9900,1.4800,60.0000,K_%,date1,vip,64
SVR,-0.0203,-0.1392,0.2009,0.7101,0.5843,0.9900,1.4800,60.0000,K_%,date1,vip,64
RF,-0.0210,-0.1854,0.2321,0.7104,0.5694,0.9900,1.4700,60.0000,K_%,date1,raw_smooth,300
GBR,-0.0499,-0.2075,0.2001,0.7203,0.5721,0.9800,1.4500,60.0000,K_%,date1,hyper_idx,24
ElasticNet,-0.0558,-0.1526,0.0983,0.7224,0.5965,0.9700,1.4500,60.0000,K_%,date1,raw_smooth,300
ElasticNet,-0.0558,-0.1526,0.0983,0.7224,0.5965,0.9700,1.4500,60.0000,K_%,date1,deriv1_snv,300
ElasticNet,-0.0558,-0.1526,0.0983,0.7224,0.5965,0.9700,1.4500,60.0000,K_%,date1,pca_10,10
ElasticNet,-0.0558,-0.1526,0.0983,0.7224,0.5965,0.9700,1.4500,60.0000,K_%,date1,vip,64
ElasticNet,-0.0558,-0.1526,0.0983,0.7224,0.5965,0.9700,1.4500,60.0000,K_%,date1,hyper_idx,24
RF,-0.1028,-0.2548,0.1377,0.7383,0.5864,0.9500,1.4200,60.0000,K_%,date1,pca_10,10
ElasticNet,-0.1269,-0.4940,0.3444,0.6138,0.4826,0.9400,1.1600,55.0000,K_%,date2,raw_smooth,300
ElasticNet,-0.1269,-0.4940,0.3444,0.6138,0.4826,0.9400,1.1600,55.0000,K_%,date2,deriv1_snv,300
ElasticNet,-0.1269,-0.4940,0.3444,0.6138,0.4826,0.9400,1.1600,55.0000,K_%,date2,pca_10,10
ElasticNet,-0.1269,-0.4940,0.3444,0.6138,0.4826,0.9400,1.1600,55.0000,K_%,date2,vip,114
ElasticNet,-0.1269,-0.4940,0.3444,0.6138,0.4826,0.9400,1.1600,55.0000,K_%,date2,hyper_idx,24
SVR,-0.1312,-0.4302,0.1862,0.6149,0.4670,0.9400,1.1600,55.0000,K_%,date2,raw_smooth,300
SVR,-0.1373,-0.4212,0.1962,0.6166,0.4628,0.9400,1.1600,55.0000,K_%,date2,vip,114
SVR,-0.1488,-0.5357,0.2256,0.6197,0.4897,0.9300,1.1500,55.0000,K_%,date2,deriv1_snv,300
SVR,-0.1686,-0.3040,0.1020,0.7600,0.6364,0.9300,1.3800,60.0000,K_%,date1,deriv1_snv,300
RF,-0.1849,-0.4615,0.3187,0.6294,0.4955,0.9200,1.1400,55.0000,K_%,date2,deriv1_snv,300
GBR,-0.1902,-0.3447,0.2547,0.7670,0.5939,0.9200,1.3700,60.0000,K_%,date1,pca_10,10
XGBoost,-0.2045,-0.3437,0.2880,0.7716,0.6179,0.9100,1.3600,60.0000,K_%,date1,hyper_idx,24
RF,-0.2329,-0.5784,0.2089,0.6420,0.4962,0.9000,1.1100,55.0000,K_%,date2,pca_10,10
RF,-0.2396,-0.6644,0.2408,0.6437,0.4972,0.9000,1.1100,55.0000,K_%,date2,raw_smooth,300
SVR,-0.2544,-0.6026,0.2639,0.6476,0.5060,0.8900,1.1000,55.0000,K_%,date2,pca_10,10
XGBoost,-0.2605,-0.4808,0.2990,0.7893,0.6287,0.8900,1.3300,60.0000,K_%,date1,pca_10,10
RF,-0.2778,-0.4251,0.0862,0.7947,0.6519,0.8800,1.3200,60.0000,K_%,date1,deriv1_snv,300
GBR,-0.2921,-0.5603,0.4002,0.6572,0.5181,0.8800,1.0900,55.0000,K_%,date2,deriv1_snv,300
SVR,-0.3028,-0.7693,0.4198,0.6599,0.5082,0.8800,1.0800,55.0000,K_%,date2,hyper_idx,24
XGBoost,-0.3034,-0.7166,0.8997,0.8026,0.6469,0.8800,1.3100,60.0000,K_%,date1,vip,64
RF,-0.3076,-0.6792,0.4084,0.6611,0.4979,0.8700,1.0800,55.0000,K_%,date2,vip,114
XGBoost,-0.3194,-0.6344,0.3558,0.6641,0.5417,0.8700,1.0800,55.0000,K_%,date2,deriv1_snv,300
PLSR,-0.3653,-0.6211,0.5684,0.8215,0.6491,0.8600,1.2800,60.0000,K_%,date1,pca_10,10
RF,-0.4213,-0.9034,0.3095,0.6893,0.5667,0.8400,1.0400,55.0000,K_%,date2,hyper_idx,24
GBR,-0.4448,-0.8430,0.1060,0.6950,0.5158,0.8300,1.0300,55.0000,K_%,date2,raw_smooth,300
XGBoost,-0.4738,-0.7386,0.4274,0.8535,0.6995,0.8200,1.2300,60.0000,K_%,date1,deriv1_snv,300
GBR,-0.4791,-0.7353,0.4131,0.8550,0.7082,0.8200,1.2300,60.0000,K_%,date1,deriv1_snv,300
XGBoost,-0.4892,-1.0328,0.9314,0.7056,0.5364,0.8200,1.0100,55.0000,K_%,date2,vip,114
XGBoost,-0.5168,-0.9600,0.8212,0.8658,0.6971,0.8100,1.2100,60.0000,K_%,date1,raw_smooth,300
GBR,-0.5421,-1.0940,0.3588,0.7180,0.5796,0.8100,1.0000,55.0000,K_%,date2,pca_10,10
XGBoost,-0.5598,-1.1137,0.2171,0.7221,0.5887,0.8000,0.9900,55.0000,K_%,date2,pca_10,10
GBR,-0.6539,-1.0964,0.8389,0.7435,0.5257,0.7800,0.9600,55.0000,K_%,date2,vip,114
XGBoost,-0.9948,-1.5923,0.4192,0.8166,0.6430,0.7100,0.8800,55.0000,K_%,date2,raw_smooth,300
GBR,-1.0104,-1.7010,0.4342,0.8198,0.6757,0.7100,0.8700,55.0000,K_%,date2,hyper_idx,24
XGBoost,-1.0411,-2.0574,1.2517,0.8260,0.6860,0.7000,0.8700,55.0000,K_%,date2,hyper_idx,24
PLSR,-1.4168,-1.6970,0.6690,1.0929,0.8585,0.6400,0.9600,60.0000,K_%,date1,vip,64
PLSR,-2.9598,-3.9368,1.5508,1.3990,1.1455,0.5000,0.7500,60.0000,K_%,date1,deriv1_snv,300
PLSR,-3.4619,-8.8704,12.5180,1.2213,0.7171,0.4700,0.5900,55.0000,K_%,date2,hyper_idx,24
PLSR,-4.3391,-5.2098,3.6346,1.6244,1.1781,0.4300,0.6400,60.0000,K_%,date1,raw_smooth,300
PLSR,-16.5400,-44.1096,71.3994,2.4214,1.0865,0.2400,0.3000,55.0000,K_%,date2,deriv1_snv,300
PLSR,-205.7331,-621.2298,1236.4673,8.3130,2.2136,0.0700,0.0900,55.0000,K_%,date2,vip,114
PLSR,-223.5220,-589.8671,942.1011,8.6633,2.3708,0.0700,0.0800,55.0000,K_%,date2,raw_smooth,300
PLSR,-1086.8033,-966.1599,1931.0175,23.1870,3.6206,0.0300,0.0500,60.0000,K_%,date1,hyper_idx,24
PLSR,-3848.2083,-11282.3085,21452.6482,35.8707,7.9215,0.0200,0.0200,55.0000,K_%,date2,pca_10,10
1D-CNN-Attn,,,,,,,,,K_%,date2,raw_300,300
PLSR,0.0059,-0.2023,0.4291,0.1054,0.0829,1.0000,1.1100,60.0000,Mg_%,date1,cars_spa,6
ElasticNet,-0.0104,-0.0404,0.0431,0.0448,0.0372,0.9900,1.2400,55.0000,Mg_%,date2,raw_smooth,300
ElasticNet,-0.0104,-0.0404,0.0431,0.0448,0.0372,0.9900,1.2400,55.0000,Mg_%,date2,deriv1_snv,300
ElasticNet,-0.0104,-0.0404,0.0431,0.0448,0.0372,0.9900,1.2400,55.0000,Mg_%,date2,pca_10,10
ElasticNet,-0.0104,-0.0404,0.0431,0.0448,0.0372,0.9900,1.2400,55.0000,Mg_%,date2,vip,98
ElasticNet,-0.0104,-0.0404,0.0431,0.0448,0.0372,0.9900,1.2400,55.0000,Mg_%,date2,hyper_idx,24
ElasticNet,-0.0360,-0.1777,0.2871,0.1076,0.0831,0.9800,1.0900,60.0000,Mg_%,date1,raw_smooth,300
ElasticNet,-0.0360,-0.1777,0.2871,0.1076,0.0831,0.9800,1.0900,60.0000,Mg_%,date1,deriv1_snv,300
ElasticNet,-0.0360,-0.1777,0.2871,0.1076,0.0831,0.9800,1.0900,60.0000,Mg_%,date1,pca_10,10
ElasticNet,-0.0360,-0.1777,0.2871,0.1076,0.0831,0.9800,1.0900,60.0000,Mg_%,date1,cars_spa,6
ElasticNet,-0.0360,-0.1777,0.2871,0.1076,0.0831,0.9800,1.0900,60.0000,Mg_%,date1,vip,67
ElasticNet,-0.0360,-0.1777,0.2871,0.1076,0.0831,0.9800,1.0900,60.0000,Mg_%,date1,hyper_idx,24
SVR,-0.0798,-0.3636,0.7737,0.1098,0.0866,0.9600,1.0600,60.0000,Mg_%,date1,cars_spa,6
RF,-0.0799,-0.1766,0.2096,0.1099,0.0818,0.9600,1.0600,60.0000,Mg_%,date1,vip,67
RF,-0.0881,-0.1933,0.2491,0.1103,0.0816,0.9600,1.0600,60.0000,Mg_%,date1,raw_smooth,300
SVR,-0.1584,-0.4399,0.7782,0.1138,0.0899,0.9300,1.0300,60.0000,Mg_%,date1,pca_10,10
RF,-0.1876,-0.3883,0.5321,0.1152,0.0856,0.9200,1.0100,60.0000,Mg_%,date1,deriv1_snv,300
SVR,-0.2002,-0.4856,0.7077,0.1158,0.0955,0.9100,1.0100,60.0000,Mg_%,date1,deriv1_snv,300
RF,-0.2052,-0.4052,0.6903,0.1160,0.0853,0.9100,1.0100,60.0000,Mg_%,date1,pca_10,10
SVR,-0.2093,-0.4091,0.4814,0.1162,0.0884,0.9100,1.0000,60.0000,Mg_%,date1,raw_smooth,300
RF,-0.2332,-0.5124,0.7985,0.1174,0.0910,0.9000,0.9900,60.0000,Mg_%,date1,cars_spa,6
GBR,-0.2374,-0.3379,0.2694,0.1176,0.0857,0.9000,0.9900,60.0000,Mg_%,date1,raw_smooth,300
GBR,-0.2604,-0.6163,0.9450,0.1187,0.0890,0.8900,0.9800,60.0000,Mg_%,date1,deriv1_snv,300
RF,-0.2720,-0.3340,0.1569,0.0503,0.0422,0.8900,1.1000,55.0000,Mg_%,date2,pca_10,10
SVR,-0.2981,-0.7755,1.3745,0.1204,0.0945,0.8800,0.9700,60.0000,Mg_%,date1,hyper_idx,24
SVR,-0.3140,-0.5889,0.5568,0.1212,0.0908,0.8700,0.9600,60.0000,Mg_%,date1,vip,67
XGBoost,-0.3361,-0.4957,0.3050,0.1222,0.0856,0.8700,0.9600,60.0000,Mg_%,date1,raw_smooth,300
SVR,-0.3532,-0.5618,0.5333,0.0518,0.0442,0.8600,1.0700,55.0000,Mg_%,date2,raw_smooth,300
SVR,-0.3532,-0.5618,0.5333,0.0518,0.0442,0.8600,1.0700,55.0000,Mg_%,date2,deriv1_snv,300
SVR,-0.3532,-0.5618,0.5333,0.0518,0.0442,0.8600,1.0700,55.0000,Mg_%,date2,pca_10,10
SVR,-0.3532,-0.5618,0.5333,0.0518,0.0442,0.8600,1.0700,55.0000,Mg_%,date2,vip,98
SVR,-0.3532,-0.5618,0.5333,0.0518,0.0442,0.8600,1.0700,55.0000,Mg_%,date2,hyper_idx,24
XGBoost,-0.3594,-0.4782,0.2432,0.1233,0.0878,0.8600,0.9500,60.0000,Mg_%,date1,vip,67
RF,-0.3626,-0.4901,0.2780,0.0520,0.0429,0.8600,1.0700,55.0000,Mg_%,date2,raw_smooth,300
RF,-0.3649,-0.7628,0.9443,0.1235,0.0978,0.8600,0.9500,60.0000,Mg_%,date1,hyper_idx,24
GBR,-0.3772,-0.6749,0.9783,0.1241,0.0914,0.8500,0.9400,60.0000,Mg_%,date1,cars_spa,6
RF,-0.3894,-0.4065,0.1511,0.0525,0.0443,0.8500,1.0600,55.0000,Mg_%,date2,hyper_idx,24
GBR,-0.3980,-0.8002,1.1378,0.1250,0.0936,0.8500,0.9300,60.0000,Mg_%,date1,pca_10,10
XGBoost,-0.4029,-0.8582,1.1064,0.1252,0.0904,0.8400,0.9300,60.0000,Mg_%,date1,deriv1_snv,300
RF,-0.4335,-0.5215,0.2091,0.0534,0.0452,0.8400,1.0400,55.0000,Mg_%,date2,deriv1_snv,300
RF,-0.4428,-0.6000,0.3520,0.0535,0.0443,0.8300,1.0400,55.0000,Mg_%,date2,vip,98
GBR,-0.4526,-0.5944,0.2104,0.1274,0.0936,0.8300,0.9200,60.0000,Mg_%,date1,vip,67
GBR,-0.4831,-0.9300,0.9189,0.1287,0.1023,0.8200,0.9100,60.0000,Mg_%,date1,hyper_idx,24
XGBoost,-0.4952,-0.5016,0.2566,0.0545,0.0440,0.8200,1.0200,55.0000,Mg_%,date2,pca_10,10
XGBoost,-0.5068,-0.8686,1.2257,0.1298,0.0952,0.8100,0.9000,60.0000,Mg_%,date1,pca_10,10
GBR,-0.5168,-0.6395,0.4048,0.0549,0.0471,0.8100,1.0100,55.0000,Mg_%,date2,deriv1_snv,300
GBR,-0.5328,-0.5549,0.2323,0.0552,0.0457,0.8100,1.0100,55.0000,Mg_%,date2,pca_10,10
XGBoost,-0.5493,-0.6211,0.2005,0.0555,0.0448,0.8000,1.0000,55.0000,Mg_%,date2,hyper_idx,24
GBR,-0.6146,-0.6762,0.2201,0.0566,0.0474,0.7900,0.9800,55.0000,Mg_%,date2,hyper_idx,24
GBR,-0.6299,-0.8233,0.5559,0.0569,0.0478,0.7800,0.9800,55.0000,Mg_%,date2,vip,98
XGBoost,-0.7183,-1.0107,0.7275,0.0584,0.0477,0.7600,0.9500,55.0000,Mg_%,date2,vip,98
XGBoost,-0.7452,-1.0764,1.0452,0.0589,0.0508,0.7600,0.9400,55.0000,Mg_%,date2,deriv1_snv,300
XGBoost,-0.7896,-1.6154,2.4703,0.1414,0.1064,0.7500,0.8300,60.0000,Mg_%,date1,cars_spa,6
XGBoost,-0.7949,-1.2252,0.6050,0.1416,0.1143,0.7500,0.8200,60.0000,Mg_%,date1,hyper_idx,24
XGBoost,-0.8118,-1.2651,1.1952,0.0600,0.0480,0.7400,0.9300,55.0000,Mg_%,date2,raw_smooth,300
GBR,-0.8286,-1.1593,0.9211,0.0603,0.0476,0.7400,0.9200,55.0000,Mg_%,date2,raw_smooth,300
PLSR,-0.9130,-1.8097,1.3795,0.1462,0.1110,0.7200,0.8000,60.0000,Mg_%,date1,vip,67
PLSR,-1.1702,-2.3695,3.3936,0.1557,0.1048,0.6800,0.7500,60.0000,Mg_%,date1,pca_10,10
PLSR,-3.3904,-6.3440,7.1437,0.2215,0.1426,0.4800,0.5300,60.0000,Mg_%,date1,raw_smooth,300
PLSR,-3.6613,-6.2268,6.9923,0.2282,0.1550,0.4600,0.5100,60.0000,Mg_%,date1,deriv1_snv,300
PLSR,-9.0668,-19.6656,28.4734,0.1414,0.0806,0.3200,0.3900,55.0000,Mg_%,date2,hyper_idx,24
PLSR,-26.3018,-70.8188,131.0415,0.2329,0.1087,0.1900,0.2400,55.0000,Mg_%,date2,deriv1_snv,300
PLSR,-68.1853,-173.2368,298.3974,0.3707,0.1384,0.1200,0.1500,55.0000,Mg_%,date2,raw_smooth,300
PLSR,-296.0756,-834.8233,1592.3592,0.7681,0.2104,0.0600,0.0700,55.0000,Mg_%,date2,vip,98
PLSR,-637.0234,-1679.6324,2996.5719,1.1257,0.2916,0.0400,0.0500,55.0000,Mg_%,date2,pca_10,10
PLSR,-4062.4648,-7357.2383,14712.2698,6.7384,0.9725,0.0200,0.0200,60.0000,Mg_%,date1,hyper_idx,24
ElasticNet,0.0477,-0.0837,0.2399,9.4200,7.0099,1.0200,1.1800,55.0000,Mn_мг_кг,date2,pca_10,10
ElasticNet,0.0034,-0.0990,0.1624,9.6371,7.2517,1.0000,1.1600,55.0000,Mn_мг_кг,date2,vip,116
ElasticNet,0.0016,-0.1027,0.1637,9.6457,7.2579,1.0000,1.1600,55.0000,Mn_мг_кг,date2,raw_smooth,300
SVR,-0.0313,-0.0931,0.1082,9.8032,6.9682,0.9800,1.1400,55.0000,Mn_мг_кг,date2,raw_smooth,300
SVR,-0.0319,-0.0944,0.1040,9.8063,6.9736,0.9800,1.1400,55.0000,Mn_мг_кг,date2,vip,116
SVR,-0.0338,-0.1099,0.1526,9.8153,6.9645,0.9800,1.1400,55.0000,Mn_мг_кг,date2,pca_10,10
