model,R2,R2_fold_mean,R2_fold_std,RMSE,MAE,RPD,RPIQ,n,element,date,feature_set,n_features
SVR,-0.0681,-0.1538,0.0974,0.0553,0.0443,0.9700,1.4500,60.0000,S_%,date1,hyper_idx,24
SVR,-0.0686,-0.1475,0.1150,0.0553,0.0438,0.9700,1.4500,60.0000,S_%,date1,vip,55
SVR,-0.0895,-0.1806,0.1108,0.0559,0.0446,0.9600,1.4300,60.0000,S_%,date1,cars_spa,8
RF,-0.1093,-0.2330,0.1976,0.0564,0.0452,0.9500,1.4200,60.0000,S_%,date1,hyper_idx,24
RF,-0.1205,-0.3449,0.3000,0.0460,0.0362,0.9400,1.3000,55.0000,S_%,date2,deriv1_snv,300
SVR,-0.1237,-0.2112,0.1414,0.0567,0.0456,0.9400,1.4100,60.0000,S_%,date1,deriv1_snv,300
RF,-0.1249,-0.3132,0.3456,0.0461,0.0370,0.9400,1.3000,55.0000,S_%,date2,hyper_idx,24
GBR,-0.1472,-0.3462,0.3279,0.0573,0.0484,0.9300,1.4000,60.0000,S_%,date1,hyper_idx,24
RF,-0.1840,-0.3746,0.3048,0.0583,0.0475,0.9200,1.3700,60.0000,S_%,date1,vip,55
RF,-0.1931,-0.3922,0.3352,0.0585,0.0484,0.9200,1.3700,60.0000,S_%,date1,raw_smooth,300
RF,-0.2014,-0.3557,0.2596,0.0587,0.0479,0.9100,1.3600,60.0000,S_%,date1,deriv1_snv,300
RF,-0.2446,-0.5357,0.3340,0.0485,0.0391,0.9000,1.2400,55.0000,S_%,date2,pca_10,10
XGBoost,-0.2487,-0.4613,0.6490,0.0486,0.0371,0.8900,1.2400,55.0000,S_%,date2,raw_smooth,300
XGBoost,-0.2636,-0.3994,0.3862,0.0489,0.0376,0.8900,1.2300,55.0000,S_%,date2,hyper_idx,24
RF,-0.2850,-0.4981,0.4147,0.0607,0.0483,0.8800,1.3200,60.0000,S_%,date1,pca_10,10
SVR,-0.3003,-0.6391,0.5954,0.0496,0.0397,0.8800,1.2100,55.0000,S_%,date2,raw_smooth,300
SVR,-0.3003,-0.6391,0.5954,0.0496,0.0397,0.8800,1.2100,55.0000,S_%,date2,deriv1_snv,300
SVR,-0.3003,-0.6391,0.5954,0.0496,0.0397,0.8800,1.2100,55.0000,S_%,date2,pca_10,10
SVR,-0.3003,-0.6391,0.5954,0.0496,0.0397,0.8800,1.2100,55.0000,S_%,date2,vip,113
SVR,-0.3003,-0.6391,0.5954,0.0496,0.0397,0.8800,1.2100,55.0000,S_%,date2,hyper_idx,24
RF,-0.3215,-0.6116,0.3994,0.0500,0.0384,0.8700,1.2000,55.0000,S_%,date2,raw_smooth,300
XGBoost,-0.3337,-0.5298,0.3613,0.0618,0.0513,0.8700,1.2900,60.0000,S_%,date1,hyper_idx,24
GBR,-0.3345,-0.6553,0.3953,0.0502,0.0432,0.8700,1.2000,55.0000,S_%,date2,hyper_idx,24
GBR,-0.3763,-0.7194,0.4541,0.0510,0.0418,0.8500,1.1800,55.0000,S_%,date2,deriv1_snv,300
GBR,-0.3873,-0.7413,0.6102,0.0631,0.0515,0.8500,1.2700,60.0000,S_%,date1,vip,55
XGBoost,-0.3905,-0.8429,0.6561,0.0512,0.0427,0.8500,1.1700,55.0000,S_%,date2,pca_10,10
GBR,-0.3997,-0.7241,0.7674,0.0514,0.0376,0.8500,1.1700,55.0000,S_%,date2,raw_smooth,300
GBR,-0.4215,-0.6152,0.3451,0.0638,0.0498,0.8400,1.2500,60.0000,S_%,date1,deriv1_snv,300
XGBoost,-0.4351,-0.7984,0.5301,0.0521,0.0427,0.8300,1.1500,55.0000,S_%,date2,deriv1_snv,300
GBR,-0.4422,-0.8401,0.6819,0.0643,0.0544,0.8300,1.2400,60.0000,S_%,date1,raw_smooth,300
GBR,-0.4621,-0.9842,0.7012,0.0526,0.0431,0.8300,1.1400,55.0000,S_%,date2,pca_10,10
RF,-0.5229,-0.8265,0.4505,0.0536,0.0418,0.8100,1.1200,55.0000,S_%,date2,vip,113
XGBoost,-0.5713,-0.7573,0.5273,0.0671,0.0543,0.8000,1.1900,60.0000,S_%,date1,pca_10,10
PLSR,-0.5783,-0.8883,0.8453,0.0673,0.0543,0.8000,1.1900,60.0000,S_%,date1,pca_10,10
RF,-0.6091,-0.8754,0.7015,0.0679,0.0551,0.7900,1.1800,60.0000,S_%,date1,cars_spa,8
XGBoost,-0.6534,-1.1413,0.8569,0.0688,0.0564,0.7800,1.1600,60.0000,S_%,date1,vip,55
GBR,-0.6764,-1.0178,0.8343,0.0693,0.0544,0.7700,1.1500,60.0000,S_%,date1,pca_10,10
XGBoost,-0.6809,-1.0492,0.7425,0.0694,0.0553,0.7700,1.1500,60.0000,S_%,date1,cars_spa,8
XGBoost,-0.7022,-1.2400,1.2089,0.0698,0.0545,0.7700,1.1500,60.0000,S_%,date1,deriv1_snv,300
XGBoost,-0.7695,-1.1003,0.4807,0.0578,0.0451,0.7500,1.0400,55.0000,S_%,date2,vip,113
GBR,-0.8058,-1.1724,0.4216,0.0584,0.0444,0.7400,1.0300,55.0000,S_%,date2,vip,113
XGBoost,-0.8390,-1.4025,0.9911,0.0726,0.0598,0.7400,1.1000,60.0000,S_%,date1,raw_smooth,300
GBR,-0.9040,-1.2467,0.6841,0.0739,0.0605,0.7200,1.0800,60.0000,S_%,date1,cars_spa,8
PLSR,-1.0334,-1.4716,1.8821,0.0620,0.0429,0.7000,0.9700,55.0000,S_%,date2,hyper_idx,24
PLSR,-1.1749,-1.9741,2.3448,0.0790,0.0609,0.6800,1.0100,60.0000,S_%,date1,vip,55
PLSR,-1.7139,-2.4496,1.6449,0.0882,0.0715,0.6100,0.9100,60.0000,S_%,date1,raw_smooth,300
PLSR,-2.3765,-3.5227,2.2350,0.0984,0.0787,0.5400,0.8100,60.0000,S_%,date1,deriv1_snv,300
PLSR,-35.9786,-42.8609,75.8631,0.2643,0.1029,0.1600,0.2300,55.0000,S_%,date2,deriv1_snv,300
PLSR,-213.7372,-255.7662,454.9258,0.6369,0.1667,0.0700,0.0900,55.0000,S_%,date2,raw_smooth,300
PLSR,-266.4517,-338.8317,474.5966,0.7107,0.2142,0.0600,0.0800,55.0000,S_%,date2,vip,113
PLSR,-4239.6345,-2810.1770,5619.5882,3.4863,0.4969,0.0200,0.0200,60.0000,S_%,date1,hyper_idx,24
PLSR,-4947.4827,-5766.2492,11410.7784,3.0572,0.5293,0.0100,0.0200,55.0000,S_%,date2,pca_10,10
ElasticNet,-0.0317,-0.2679,0.4209,20.0651,12.7781,0.9800,0.4100,60.0000,Zn_мг_кг,date1,cars_spa,6
SVR,-0.0618,-0.0834,0.0799,20.3550,10.6867,0.9700,0.4000,60.0000,Zn_мг_кг,date1,pca_10,10
SVR,-0.0759,-0.1173,0.0658,20.4899,10.7763,0.9600,0.4000,60.0000,Zn_мг_кг,date1,cars_spa,6
SVR,-0.0828,-0.1282,0.0899,20.5559,10.9187,0.9600,0.4000,60.0000,Zn_мг_кг,date1,hyper_idx,24
SVR,-0.0829,-0.1927,0.1900,6.0836,4.3027,0.9600,1.2800,55.0000,Zn_мг_кг,date2,vip,101
SVR,-0.0839,-0.1216,0.0798,20.5664,10.7442,0.9600,0.4000,60.0000,Zn_мг_кг,date1,deriv1_snv,300
SVR,-0.0875,-0.1925,0.1864,6.0965,4.3072,0.9600,1.2800,55.0000,Zn_мг_кг,date2,raw_smooth,300
PLSR,-0.0963,-0.9826,1.4457,20.6832,13.8639,0.9600,0.4000,60.0000,Zn_мг_кг,date1,cars_spa,6
SVR,-0.0965,-0.2175,0.1861,6.1216,4.3823,0.9500,1.2700,55.0000,Zn_мг_кг,date2,pca_10,10
ElasticNet,-0.1012,-1.0650,1.7815,20.7296,13.7120,0.9500,0.3900,60.0000,Zn_мг_кг,date1,pca_10,10
SVR,-0.1030,-0.1275,0.0906,20.7464,10.7773,0.9500,0.3900,60.0000,Zn_мг_кг,date1,vip,86
SVR,-0.1060,-0.1424,0.0938,20.7753,10.8360,0.9500,0.3900,60.0000,Zn_мг_кг,date1,raw_smooth,300
ElasticNet,-0.1164,-0.5883,0.7706,20.8722,13.3478,0.9500,0.3900,60.0000,Zn_мг_кг,date1,raw_smooth,300
ElasticNet,-0.1182,-0.2215,0.3480,6.1819,4.4059,0.9500,1.2600,55.0000,Zn_мг_кг,date2,hyper_idx,24
SVR,-0.1272,-0.2371,0.1766,6.2067,4.4519,0.9400,1.2600,55.0000,Zn_мг_кг,date2,deriv1_snv,300
ElasticNet,-0.1290,-0.4717,0.4959,20.9898,13.4006,0.9400,0.3900,60.0000,Zn_мг_кг,date1,vip,86
RF,-0.1313,-1.1305,2.1263,21.0114,13.7325,0.9400,0.3900,60.0000,Zn_мг_кг,date1,pca_10,10
ElasticNet,-0.1324,-0.2813,0.1993,6.2212,4.4957,0.9400,1.2500,55.0000,Zn_мг_кг,date2,deriv1_snv,300
SVR,-0.1452,-0.2662,0.1756,6.2562,4.4150,0.9300,1.2500,55.0000,Zn_мг_кг,date2,hyper_idx,24
ElasticNet,-0.1669,-0.3757,0.2329,6.3151,4.6441,0.9300,1.2400,55.0000,Zn_мг_кг,date2,pca_10,10
ElasticNet,-0.1674,-0.3711,0.2697,6.3164,4.6002,0.9300,1.2300,55.0000,Zn_мг_кг,date2,raw_smooth,300
ElasticNet,-0.1713,-0.3770,0.2647,6.3269,4.6049,0.9200,1.2300,55.0000,Zn_мг_кг,date2,vip,101
GBR,-0.1880,-1.4617,2.6875,21.5315,13.4330,0.9200,0.3800,60.0000,Zn_мг_кг,date1,pca_10,10
RF,-0.2312,-0.5764,0.2781,6.4868,5.0061,0.9000,1.2000,55.0000,Zn_мг_кг,date2,pca_10,10
XGBoost,-0.2504,-2.6103,5.1215,22.0892,13.4213,0.8900,0.3700,60.0000,Zn_мг_кг,date1,pca_10,10
RF,-0.2914,-1.6219,2.5584,22.4490,15.6593,0.8800,0.3600,60.0000,Zn_мг_кг,date1,deriv1_snv,300
RF,-0.3125,-0.4711,0.2606,6.6977,4.6556,0.8700,1.1600,55.0000,Zn_мг_кг,date2,raw_smooth,300
XGBoost,-0.3353,-0.8777,0.5843,6.7554,5.4994,0.8700,1.1500,55.0000,Zn_мг_кг,date2,pca_10,10
RF,-0.3808,-0.5153,0.3067,6.8697,4.7275,0.8500,1.1400,55.0000,Zn_мг_кг,date2,vip,101
RF,-0.3850,-0.7393,0.3782,6.8801,5.3050,0.8500,1.1300,55.0000,Zn_мг_кг,date2,deriv1_snv,300
XGBoost,-0.3963,-0.6437,0.4914,6.9082,4.9217,0.8500,1.1300,55.0000,Zn_мг_кг,date2,vip,101
GBR,-0.4019,-2.2957,3.6671,23.3893,15.2191,0.8400,0.3500,60.0000,Zn_мг_кг,date1,deriv1_snv,300
GBR,-0.4022,-1.0762,0.7821,6.9226,5.5402,0.8400,1.1300,55.0000,Zn_мг_кг,date2,pca_10,10
RF,-0.4191,-0.9128,0.8085,23.5328,15.7381,0.8400,0.3500,60.0000,Zn_мг_кг,date1,raw_smooth,300
RF,-0.4784,-0.9008,0.7119,24.0195,16.1104,0.8200,0.3400,60.0000,Zn_мг_кг,date1,vip,86
GBR,-0.4818,-0.7252,0.5521,7.1165,4.8399,0.8200,1.1000,55.0000,Zn_мг_кг,date2,vip,101
RF,-0.4822,-0.7606,0.4159,7.1173,5.0693,0.8200,1.1000,55.0000,Zn_мг_кг,date2,hyper_idx,24
GBR,-0.4892,-0.7901,0.3176,7.1341,5.0746,0.8200,1.0900,55.0000,Zn_мг_кг,date2,raw_smooth,300
RF,-0.4951,-2.6488,4.1283,24.1542,16.5979,0.8200,0.3400,60.0000,Zn_мг_кг,date1,hyper_idx,24
XGBoost,-0.4976,-0.9084,0.5001,7.1542,5.0223,0.8200,1.0900,55.0000,Zn_мг_кг,date2,raw_smooth,300
XGBoost,-0.5163,-4.0361,7.1227,24.3247,16.5274,0.8100,0.3400,60.0000,Zn_мг_кг,date1,hyper_idx,24
RF,-0.5536,-1.6676,2.4589,24.6227,17.0733,0.8000,0.3300,60.0000,Zn_мг_кг,date1,cars_spa,6
ElasticNet,-0.6417,-2.6654,3.7264,25.3105,17.0665,0.7800,0.3200,60.0000,Zn_мг_кг,date1,deriv1_snv,300
GBR,-0.6997,-2.5938,3.4408,25.7541,17.2053,0.7700,0.3200,60.0000,Zn_мг_кг,date1,hyper_idx,24
XGBoost,-0.7717,-5.9619,10.3363,26.2938,16.1740,0.7500,0.3100,60.0000,Zn_мг_кг,date1,deriv1_snv,300
GBR,-0.7957,-1.2180,0.7410,7.8340,5.3386,0.7500,1.0000,55.0000,Zn_мг_кг,date2,hyper_idx,24
GBR,-0.8363,-1.7385,1.7269,7.9221,5.6678,0.7400,0.9800,55.0000,Zn_мг_кг,date2,deriv1_snv,300
GBR,-0.9425,-1.5877,0.8341,27.5325,17.8096,0.7200,0.3000,60.0000,Zn_мг_кг,date1,vip,86
GBR,-0.9854,-2.5774,3.4541,27.8347,19.1605,0.7100,0.2900,60.0000,Zn_мг_кг,date1,cars_spa,6
GBR,-1.1481,-2.7128,2.4924,28.9527,18.9063,0.6800,0.2800,60.0000,Zn_мг_кг,date1,raw_smooth,300
XGBoost,-1.2026,-2.1610,1.3311,8.6763,5.9280,0.6700,0.9000,55.0000,Zn_мг_кг,date2,hyper_idx,24
PLSR,-1.2187,-5.3419,7.6727,29.4248,22.1210,0.6700,0.2800,60.0000,Zn_мг_кг,date1,vip,86
XGBoost,-1.4058,-2.7154,1.8520,30.6400,19.9399,0.6400,0.2700,60.0000,Zn_мг_кг,date1,vip,86
XGBoost,-1.4088,-3.1457,4.7735,9.0733,6.2866,0.6400,0.8600,55.0000,Zn_мг_кг,date2,deriv1_snv,300
PLSR,-1.5371,-5.4571,6.7655,31.4653,17.7692,0.6300,0.2600,60.0000,Zn_мг_кг,date1,pca_10,10
XGBoost,-1.7831,-4.3839,3.9926,32.9552,21.8412,0.6000,0.2500,60.0000,Zn_мг_кг,date1,raw_smooth,300
XGBoost,-1.8565,-5.5450,7.4780,33.3870,23.3313,0.5900,0.2400,60.0000,Zn_мг_кг,date1,cars_spa,6
PLSR,-5.2390,-15.8823,16.8929,49.3421,32.4556,0.4000,0.1700,60.0000,Zn_мг_кг,date1,deriv1_snv,300
PLSR,-5.4389,-18.3055,20.2901,50.1265,29.9222,0.3900,0.1600,60.0000,Zn_мг_кг,date1,raw_smooth,300
PLSR,-5.7022,-12.5493,21.0636,15.1348,7.9133,0.3900,0.5200,55.0000,Zn_мг_кг,date2,hyper_idx,24
PLSR,-22.2636,-49.9339,97.1060,28.1971,10.6704,0.2100,0.2800,55.0000,Zn_мг_кг,date2,vip,101
ElasticNet,-53.7247,-119.8848,238.6771,146.1343,32.0163,0.1400,0.0600,60.0000,Zn_мг_кг,date1,hyper_idx,24
PLSR,-64.7929,-144.5565,280.9652,47.4194,14.1402,0.1200,0.1600,55.0000,Zn_мг_кг,date2,deriv1_snv,300
PLSR,-284.5070,-639.9200,1277.6465,98.7814,19.8567,0.0600,0.0800,55.0000,Zn_мг_кг,date2,raw_smooth,300
PLSR,-2454.1707,-5518.2839,11021.0294,289.6726,49.0697,0.0200,0.0300,55.0000,Zn_мг_кг,date2,pca_10,10
PLSR,-2498.8814,-5564.0821,11121.8484,987.6887,145.4184,0.0200,0.0100,60.0000,Zn_мг_кг,date1,hyper_idx,24
ElasticNet,0.1797,0.1177,0.1199,2289.7923,1612.7439,1.1000,1.1700,60.0000,Нитраты_мг_кг,date1,cars_spa,18
RF,0.1771,0.1584,0.1620,2293.4288,1647.7966,1.1000,1.1600,60.0000,Нитраты_мг_кг,date1,hyper_idx,24
ElasticNet,0.1542,0.0886,0.1545,2325.2153,1663.3014,1.0900,1.1500,60.0000,Нитраты_мг_кг,date1,vip,66
ElasticNet,0.1225,0.0380,0.2137,2368.2810,1747.6985,1.0700,1.1300,60.0000,Нитраты_мг_кг,date1,pca_10,10
GBR,0.0789,-0.0394,0.3536,2426.4832,1831.4199,1.0400,1.1000,60.0000,Нитраты_мг_кг,date1,hyper_idx,24
RF,0.0550,-0.0114,0.1523,2457.7925,1732.2744,1.0300,1.0900,60.0000,Нитраты_мг_кг,date1,vip,66
PLSR,0.0543,-0.0780,0.3271,2458.6101,1821.4924,1.0300,1.0900,60.0000,Нитраты_мг_кг,date1,pca_10,10
RF,0.0539,-0.0378,0.1294,2459.1603,1787.3274,1.0300,1.0900,60.0000,Нитраты_мг_кг,date1,pca_10,10
GBR,0.0478,-0.0797,0.2337,2467.0886,1734.6612,1.0200,1.0800,60.0000,Нитраты_мг_кг,date1,pca_10,10
RF,0.0373,-0.0529,0.1863,2480.6388,1841.5393,1.0200,1.0800,60.0000,Нитраты_мг_кг,date1,raw_smooth,300
RF,0.0284,-0.0876,0.1942,2492.0976,1859.3421,1.0100,1.0700,60.0000,Нитраты_мг_кг,date1,cars_spa,18
XGBoost,0.0099,-0.1647,0.4238,2515.6761,1827.1010,1.0000,1.0600,60.0000,Нитраты_мг_кг,date1,hyper_idx,24
ElasticNet,0.0003,-0.1059,0.2795,2527.8955,1856.4408,1.0000,1.0600,60.0000,Нитраты_мг_кг,date1,raw_smooth,300
XGBoost,-0.0646,-0.1854,0.2162,2608.6864,1983.8683,0.9700,1.0200,60.0000,Нитраты_мг_кг,date1,vip,66
XGBoost,-0.1045,-0.2383,0.3351,2657.0146,2001.2072,0.9500,1.0000,60.0000,Нитраты_мг_кг,date1,pca_10,10
GBR,-0.1077,-0.1898,0.2107,2660.9614,1964.3390,0.9500,1.0000,60.0000,Нитраты_мг_кг,date1,vip,66
SVR,-0.1301,-0.2329,0.3008,2687.7332,1897.5477,0.9400,0.9900,60.0000,Нитраты_мг_кг,date1,vip,66
SVR,-0.1302,-0.2329,0.3006,2687.7992,1897.6876,0.9400,0.9900,60.0000,Нитраты_мг_кг,date1,raw_smooth,300
SVR,-0.1302,-0.2329,0.3007,2687.7908,1897.7517,0.9400,0.9900,60.0000,Нитраты_мг_кг,date1,cars_spa,18
SVR,-0.1305,-0.2331,0.3005,2688.1213,1897.4625,0.9400,0.9900,60.0000,Нитраты_мг_кг,date1,hyper_idx,24
SVR,-0.1308,-0.2335,0.3007,2688.5113,1897.9483,0.9400,0.9900,60.0000,Нитраты_мг_кг,date1,pca_10,10
SVR,-0.1311,-0.2338,0.3006,2688.8697,1898.1429,0.9400,0.9900,60.0000,Нитраты_мг_кг,date1,deriv1_snv,300
SVR,-0.1322,-0.1944,0.1427,3362.2229,1809.6439,0.9400,0.5100,55.0000,Нитраты_мг_кг,date2,pca_10,10
SVR,-0.1322,-0.1944,0.1426,3362.2531,1809.5817,0.9400,0.5100,55.0000,Нитраты_мг_кг,date2,cars_spa,17
SVR,-0.1322,-0.1944,0.1426,3362.2312,1809.5897,0.9400,0.5100,55.0000,Нитраты_мг_кг,date2,vip,113
SVR,-0.1322,-0.1941,0.1429,3362.1656,1809.1429,0.9400,0.5100,55.0000,Нитраты_мг_кг,date2,hyper_idx,24
SVR,-0.1323,-0.1944,0.1427,3362.2686,1809.5912,0.9400,0.5100,55.0000,Нитраты_мг_кг,date2,raw_smooth,300
SVR,-0.1325,-0.1944,0.1429,3362.5852,1809.7207,0.9400,0.5100,55.0000,Нитраты_мг_кг,date2,deriv1_snv,300
RF,-0.1371,-0.2528,0.2489,2696.0349,2155.2007,0.9400,0.9900,60.0000,Нитраты_мг_кг,date1,deriv1_snv,300
GBR,-0.1447,-0.3182,0.3396,2704.9947,1993.1620,0.9300,0.9900,60.0000,Нитраты_мг_кг,date1,raw_smooth,300
GBR,-0.1642,-0.3633,0.4051,2727.9369,1982.2257,0.9300,0.9800,60.0000,Нитраты_мг_кг,date1,cars_spa,18
XGBoost,-0.1882,-0.3679,0.6610,2755.8453,1947.1422,0.9200,0.9700,60.0000,Нитраты_мг_кг,date1,cars_spa,18
ElasticNet,-0.2035,-0.9507,0.7057,3466.4942,2295.3863,0.9100,0.5000,55.0000,Нитраты_мг_кг,date2,vip,113
RF,-0.2047,-1.1418,1.0589,3468.1210,2472.2172,0.9100,0.5000,55.0000,Нитраты_мг_кг,date2,pca_10,10
RF,-0.2293,-1.0548,1.0804,3503.3934,2173.3426,0.9000,0.4900,55.0000,Нитраты_мг_кг,date2,raw_smooth,300
XGBoost,-0.2353,-0.9019,0.7013,3511.8835,2143.9727,0.9000,0.4900,55.0000,Нитраты_мг_кг,date2,cars_spa,17
ElasticNet,-0.2484,-0.9933,0.7949,3530.5792,2247.2076,0.8900,0.4900,55.0000,Нитраты_мг_кг,date2,cars_spa,17
RF,-0.2490,-0.9588,0.8150,3531.3168,2238.0418,0.8900,0.4900,55.0000,Нитраты_мг_кг,date2,vip,113
ElasticNet,-0.2516,-1.1425,0.9674,3535.0456,2368.6716,0.8900,0.4900,55.0000,Нитраты_мг_кг,date2,pca_10,10
RF,-0.2980,-1.1361,0.7735,3599.9530,2256.5561,0.8800,0.4800,55.0000,Нитраты_мг_кг,date2,cars_spa,17
GBR,-0.3189,-0.9546,0.6909,3628.8338,2227.9238,0.8700,0.4800,55.0000,Нитраты_мг_кг,date2,raw_smooth,300
XGBoost,-0.3253,-1.2710,1.2033,3637.5608,2273.3655,0.8700,0.4700,55.0000,Нитраты_мг_кг,date2,raw_smooth,300
ElasticNet,-0.3302,-1.2999,1.0804,3644.3664,2390.0127,0.8700,0.4700,55.0000,Нитраты_мг_кг,date2,raw_smooth,300
RF,-0.3454,-1.9406,1.8829,3665.1607,2514.2044,0.8600,0.4700,55.0000,Нитраты_мг_кг,date2,hyper_idx,24
XGBoost,-0.3463,-0.6493,0.7393,2933.5427,2099.8175,0.8600,0.9100,60.0000,Нитраты_мг_кг,date1,raw_smooth,300
ElasticNet,-0.4007,-1.5052,1.0735,3739.7219,2472.1229,0.8400,0.4600,55.0000,Нитраты_мг_кг,date2,hyper_idx,24
GBR,-0.4476,-1.2067,0.6802,3801.8180,2374.1990,0.8300,0.4500,55.0000,Нитраты_мг_кг,date2,vip,113
XGBoost,-0.4484,-1.1220,0.6273,3802.8393,2371.8018,0.8300,0.4500,55.0000,Нитраты_мг_кг,date2,vip,113
PLSR,-0.4684,-0.7719,0.9871,3063.7013,2294.1407,0.8300,0.8700,60.0000,Нитраты_мг_кг,date1,cars_spa,18
RF,-0.4856,-2.3964,2.1859,3851.3405,2654.1125,0.8200,0.4500,55.0000,Нитраты_мг_кг,date2,deriv1_snv,300
GBR,-0.5260,-2.2203,1.7042,3903.4098,2730.3603,0.8100,0.4400,55.0000,Нитраты_мг_кг,date2,pca_10,10
GBR,-0.5428,-0.6470,0.1852,3140.3147,2436.9178,0.8100,0.8500,60.0000,Нитраты_мг_кг,date1,deriv1_snv,300
GBR,-0.5490,-1.8434,1.4648,3932.6423,2443.6134,0.8000,0.4400,55.0000,Нитраты_мг_кг,date2,cars_spa,17
PLSR,-0.5888,-0.8805,0.5821,3186.8022,2368.2312,0.7900,0.8400,60.0000,Нитраты_мг_кг,date1,vip,66
GBR,-0.6844,-3.6226,4.2027,4100.9568,2782.0186,0.7700,0.4200,55.0000,Нитраты_мг_кг,date2,hyper_idx,24
XGBoost,-0.7645,-0.9094,0.4955,3358.3530,2647.3891,0.7500,0.7900,60.0000,Нитраты_мг_кг,date1,deriv1_snv,300
XGBoost,-0.8303,-2.8518,2.6129,4274.8011,2706.7290,0.7400,0.4000,55.0000,Нитраты_мг_кг,date2,hyper_idx,24
GBR,-0.8352,-2.7933,2.3760,4280.5276,2848.7553,0.7400,0.4000,55.0000,Нитраты_мг_кг,date2,deriv1_snv,300
XGBoost,-1.0767,-3.4261,3.2215,4553.4960,3079.7468,0.6900,0.3800,55.0000,Нитраты_мг_кг,date2,deriv1_snv,300
ElasticNet,-1.1215,-1.3316,0.7705,3682.4911,2928.0381,0.6900,0.7200,60.0000,Нитраты_мг_кг,date1,deriv1_snv,300
XGBoost,-1.2153,-3.2422,3.5060,4703.0402,3036.7164,0.6700,0.3700,55.0000,Нитраты_мг_кг,date2,pca_10,10
PLSR,-2.7788,-3.4835,2.8681,4914.6767,3472.5719,0.5100,0.5400,60.0000,Нитраты_мг_кг,date1,raw_smooth,300
PLSR,-3.1866,-3.7118,1.2259,5173.0700,4126.1080,0.4900,0.5200,60.0000,Нитраты_мг_кг,date1,deriv1_snv,300
ElasticNet,-4.3056,-11.9926,20.0848,7278.2556,3468.1230,0.4300,0.2400,55.0000,Нитраты_мг_кг,date2,deriv1_snv,300
PLSR,-7.0992,-26.0146,27.3914,8992.5427,4356.9714,0.3500,0.1900,55.0000,Нитраты_мг_кг,date2,hyper_idx,24
PLSR,-27.2912,-74.4215,131.5547,16806.8452,6035.0416,0.1900,0.1000,55.0000,Нитраты_мг_кг,date2,deriv1_snv,300
PLSR,-39.5785,-118.5552,171.3175,20128.3751,7131.8262,0.1600,0.0900,55.0000,Нитраты_мг_кг,date2,vip,113
ElasticNet,-136.9256,-184.2819,368.9368,29692.1143,5404.1618,0.0900,0.0900,60.0000,Нитраты_мг_кг,date1,hyper_idx,24
PLSR,-154.5853,-417.5592,758.8490,39413.4949,10098.3624,0.0800,0.0400,55.0000,Нитраты_мг_кг,date2,raw_smooth,300
PLSR,-210.6487,-547.9009,1090.3629,45969.3598,10265.0967,0.0700,0.0400,55.0000,Нитраты_мг_кг,date2,cars_spa,17
PLSR,-1310.8284,-1763.5457,3524.9011,91570.8252,14059.6219,0.0300,0.0300,60.0000,Нитраты_мг_кг,date1,hyper_idx,24
PLSR,-1340.6599,-3547.2255,6781.5497,115739.5853,21663.4909,0.0300,0.0100,55.0000,Нитраты_мг_кг,date2,pca_10,10
