model,R2,R2_fold_mean,R2_fold_std,RMSE,MAE,RPD,RPIQ,n,element,date,track,n_features
SVR,0.0529,0.0647,0.2209,0.1733,0.1383,1.0300,1.0500,60,Ca_%,date1,C_fusion,83
SVR,-0.0024,-0.0303,0.1085,0.1782,0.1450,1.0000,1.0200,60,Ca_%,date1,B_hyper,34
ElasticNet,-0.0139,-0.0443,0.0531,0.1793,0.1366,0.9900,1.0200,60,Ca_%,date1,A_multi,49
ElasticNet,-0.0139,-0.0443,0.0531,0.1793,0.1366,0.9900,1.0200,60,Ca_%,date1,B_hyper,34
ElasticNet,-0.0139,-0.0443,0.0531,0.1793,0.1366,0.9900,1.0200,60,Ca_%,date1,C_fusion,83
RF,-0.0273,-0.0521,0.0832,0.1804,0.1426,0.9900,1.0100,60,Ca_%,date1,B_hyper,34
RF,-0.0772,-0.1082,0.3058,0.1848,0.1416,0.9600,0.9900,60,Ca_%,date1,A_multi,49
RF,-0.1036,-0.1216,0.3508,0.1870,0.1442,0.9500,0.9800,60,Ca_%,date1,C_fusion,83
SVR,-0.1345,-0.1677,0.2757,0.1896,0.1445,0.9400,0.9600,60,Ca_%,date1,A_multi,49
XGBoost,-0.1430,-0.1638,0.5681,0.1903,0.1433,0.9400,0.9600,60,Ca_%,date1,C_fusion,83
XGBoost,-0.1444,-0.2059,0.4577,0.1904,0.1466,0.9300,0.9600,60,Ca_%,date1,A_multi,49
GBR,-0.1636,-0.2146,0.1830,0.1920,0.1543,0.9300,0.9500,60,Ca_%,date1,B_hyper,34
GBR,-0.1906,-0.2616,0.5150,0.1942,0.1507,0.9200,0.9400,60,Ca_%,date1,A_multi,49
XGBoost,-0.2345,-0.2703,0.3496,0.1978,0.1541,0.9000,0.9200,60,Ca_%,date1,B_hyper,34
GBR,-0.3161,-0.3377,0.6738,0.2042,0.1567,0.8700,0.8900,60,Ca_%,date1,C_fusion,83
PLSR,-2.3048,-2.3295,2.3202,0.3236,0.1969,0.5500,0.5600,60,Ca_%,date1,A_multi,49
PLSR,-4.1160,-5.1712,9.0393,0.4027,0.2225,0.4400,0.4500,60,Ca_%,date1,B_hyper,34
PLSR,-11.8049,-14.8477,27.5170,0.6370,0.2693,0.2800,0.2900,60,Ca_%,date1,C_fusion,83
RF,-0.0429,-0.2542,0.3944,0.5961,0.4983,0.9800,1.4200,40,Co_мг_кг,date1,A_multi,49
ElasticNet,-0.0585,-0.1627,0.0743,0.6005,0.4902,0.9700,1.4100,40,Co_мг_кг,date1,A_multi,49
ElasticNet,-0.0585,-0.1627,0.0743,0.6005,0.4902,0.9700,1.4100,40,Co_мг_кг,date1,B_hyper,34
ElasticNet,-0.0585,-0.1627,0.0743,0.6005,0.4902,0.9700,1.4100,40,Co_мг_кг,date1,C_fusion,83
XGBoost,-0.0775,-0.3445,0.4880,0.6059,0.4862,0.9600,1.4000,40,Co_мг_кг,date1,A_multi,49
RF,-0.2175,-0.4284,0.4668,0.6441,0.5379,0.9100,1.3100,40,Co_мг_кг,date1,C_fusion,83
RF,-0.3899,-0.5878,0.3186,0.6881,0.5607,0.8500,1.2300,40,Co_мг_кг,date1,B_hyper,34
SVR,-0.4106,-0.5751,0.1106,0.6932,0.5619,0.8400,1.2200,40,Co_мг_кг,date1,A_multi,49
GBR,-0.4153,-0.7160,0.8121,0.6944,0.5636,0.8400,1.2200,40,Co_мг_кг,date1,A_multi,49
XGBoost,-0.4217,-0.6596,0.3739,0.6960,0.6011,0.8400,1.2100,40,Co_мг_кг,date1,C_fusion,83
SVR,-0.4711,-0.6752,0.3400,0.7080,0.6021,0.8200,1.1900,40,Co_мг_кг,date1,C_fusion,83
SVR,-0.5169,-0.7320,0.4887,0.7189,0.5862,0.8100,1.1800,40,Co_мг_кг,date1,B_hyper,34
GBR,-0.5857,-0.8937,0.6166,0.7350,0.6285,0.7900,1.1500,40,Co_мг_кг,date1,C_fusion,83
XGBoost,-0.7425,-1.0357,0.4548,0.7705,0.5969,0.7600,1.1000,40,Co_мг_кг,date1,B_hyper,34
GBR,-0.7634,-0.9865,0.5072,0.7751,0.6356,0.7500,1.0900,40,Co_мг_кг,date1,B_hyper,34
PLSR,-3.5057,-3.5315,2.8230,1.2390,0.8324,0.4700,0.6800,40,Co_мг_кг,date1,A_multi,49
PLSR,-378.7063,-518.6822,1030.3801,11.3741,2.6876,0.0500,0.0700,40,Co_мг_кг,date1,B_hyper,34
PLSR,-426.2547,-582.9022,1155.3728,12.0652,2.9494,0.0500,0.0700,40,Co_мг_кг,date1,C_fusion,83
GBR,0.0547,-0.0078,0.2164,2.3989,1.6965,1.0300,0.7500,59,Cu_мг_кг,date1,A_multi,49
XGBoost,-0.0137,-0.0360,0.4299,2.4842,1.5966,0.9900,0.7200,59,Cu_мг_кг,date1,A_multi,49
ElasticNet,-0.0523,-0.1093,0.0959,2.5310,1.8612,0.9700,0.7100,59,Cu_мг_кг,date1,A_multi,49
ElasticNet,-0.0539,-0.1201,0.0789,2.5329,1.8708,0.9700,0.7100,59,Cu_мг_кг,date1,B_hyper,34
ElasticNet,-0.0617,-0.1287,0.0801,2.5423,1.8813,0.9700,0.7100,59,Cu_мг_кг,date1,C_fusion,83
RF,-0.0861,-0.2063,0.2132,2.5713,1.8931,0.9600,0.7000,59,Cu_мг_кг,date1,A_multi,49
SVR,-0.1013,-0.1711,0.1500,2.5893,1.6699,0.9500,0.6900,59,Cu_мг_кг,date1,A_multi,49
SVR,-0.1209,-0.2175,0.1648,2.6122,1.6646,0.9400,0.6900,59,Cu_мг_кг,date1,B_hyper,34
SVR,-0.1335,-0.2368,0.1699,2.6269,1.6694,0.9400,0.6800,59,Cu_мг_кг,date1,C_fusion,83
XGBoost,-0.1930,-0.6886,1.3733,2.6949,1.9309,0.9200,0.6700,59,Cu_мг_кг,date1,B_hyper,34
RF,-0.2658,-0.6544,1.0009,2.7759,2.0978,0.8900,0.6500,59,Cu_мг_кг,date1,B_hyper,34
RF,-0.2836,-0.7200,1.0672,2.7954,2.1380,0.8800,0.6400,59,Cu_мг_кг,date1,C_fusion,83
GBR,-0.3096,-0.7069,0.9369,2.8236,2.0720,0.8700,0.6400,59,Cu_мг_кг,date1,B_hyper,34
XGBoost,-0.3390,-0.7222,0.8789,2.8550,1.9710,0.8600,0.6300,59,Cu_мг_кг,date1,C_fusion,83
GBR,-0.3542,-0.7879,1.0173,2.8712,2.1179,0.8600,0.6300,59,Cu_мг_кг,date1,C_fusion,83
PLSR,-1.2331,-1.7276,1.3825,3.6871,2.6453,0.6700,0.4900,59,Cu_мг_кг,date1,A_multi,49
PLSR,-500.0962,-717.9898,1430.3752,55.2318,10.2673,0.0400,0.0300,59,Cu_мг_кг,date1,C_fusion,83
PLSR,-1983.3288,-2846.7726,5690.1044,109.9095,16.9509,0.0200,0.0200,59,Cu_мг_кг,date1,B_hyper,34
SVR,-0.1858,-0.4950,0.5311,74.3030,60.3551,0.9200,1.2900,60,Fe_мг_кг,date1,B_hyper,34
SVR,-0.1906,-0.4977,0.5248,74.4545,60.5954,0.9200,1.2900,60,Fe_мг_кг,date1,C_fusion,83
SVR,-0.1925,-0.5003,0.5287,74.5123,60.7751,0.9200,1.2900,60,Fe_мг_кг,date1,A_multi,49
RF,-0.2574,-0.9164,1.2260,76.5147,64.3469,0.8900,1.2600,60,Fe_мг_кг,date1,A_multi,49
ElasticNet,-0.2916,-0.8584,0.9091,77.5471,63.9888,0.8800,1.2400,60,Fe_мг_кг,date1,A_multi,49
RF,-0.3482,-1.0259,1.1592,79.2285,63.6757,0.8600,1.2100,60,Fe_мг_кг,date1,B_hyper,34
RF,-0.3883,-1.1654,1.4066,80.3974,65.4394,0.8500,1.2000,60,Fe_мг_кг,date1,C_fusion,83
PLSR,-0.4349,-1.2252,1.4791,81.7368,68.9198,0.8300,1.1800,60,Fe_мг_кг,date1,A_multi,49
XGBoost,-0.5409,-1.3055,1.3862,84.7024,70.0566,0.8100,1.1400,60,Fe_мг_кг,date1,A_multi,49
XGBoost,-0.5470,-1.2815,1.1989,84.8689,67.3061,0.8000,1.1300,60,Fe_мг_кг,date1,B_hyper,34
GBR,-0.5777,-1.3775,1.3708,85.7078,66.1081,0.8000,1.1200,60,Fe_мг_кг,date1,B_hyper,34
GBR,-0.7037,-1.6017,1.5013,89.0642,68.0188,0.7700,1.0800,60,Fe_мг_кг,date1,C_fusion,83
GBR,-0.7584,-1.7088,1.7585,90.4823,75.9247,0.7500,1.0600,60,Fe_мг_кг,date1,A_multi,49
XGBoost,-0.7981,-1.7587,1.6197,91.4967,73.9124,0.7500,1.0500,60,Fe_мг_кг,date1,C_fusion,83
ElasticNet,-166.4581,-238.0376,473.5689,882.9928,180.8451,0.0800,0.1100,60,Fe_мг_кг,date1,C_fusion,83
ElasticNet,-190.0473,-271.6758,541.3040,943.1364,183.6624,0.0700,0.1000,60,Fe_мг_кг,date1,B_hyper,34
PLSR,-2993.0481,-4272.0755,8537.4144,3733.6487,569.0113,0.0200,0.0300,60,Fe_мг_кг,date1,C_fusion,83
PLSR,-6661.2985,-9507.1196,19008.9892,5569.4987,794.8285,0.0100,0.0200,60,Fe_мг_кг,date1,B_hyper,34
RF,0.1059,0.0306,0.0936,0.6648,0.5324,1.0600,1.5800,60,K_%,date1,B_hyper,34
SVR,0.0975,0.0120,0.1962,0.6679,0.5328,1.0500,1.5700,60,K_%,date1,B_hyper,34
RF,0.0304,-0.0560,0.1020,0.6923,0.5545,1.0200,1.5100,60,K_%,date1,C_fusion,83
SVR,0.0250,-0.1169,0.2104,0.6942,0.5544,1.0100,1.5100,60,K_%,date1,C_fusion,83
ElasticNet,-0.0558,-0.1526,0.0983,0.7224,0.5965,0.9700,1.4500,60,K_%,date1,A_multi,49
ElasticNet,-0.0558,-0.1526,0.0983,0.7224,0.5965,0.9700,1.4500,60,K_%,date1,B_hyper,34
ElasticNet,-0.0558,-0.1526,0.0983,0.7224,0.5965,0.9700,1.4500,60,K_%,date1,C_fusion,83
GBR,-0.0733,-0.1915,0.0802,0.7283,0.5780,0.9700,1.4400,60,K_%,date1,C_fusion,83
GBR,-0.1493,-0.2763,0.1921,0.7537,0.6055,0.9300,1.3900,60,K_%,date1,B_hyper,34
SVR,-0.1634,-0.3324,0.2462,0.7583,0.6075,0.9300,1.3800,60,K_%,date1,A_multi,49
XGBoost,-0.1689,-0.3489,0.5148,0.7601,0.5998,0.9200,1.3800,60,K_%,date1,B_hyper,34
RF,-0.2441,-0.4685,0.3335,0.7842,0.6327,0.9000,1.3400,60,K_%,date1,A_multi,49
XGBoost,-0.3081,-0.4362,0.0994,0.8041,0.6386,0.8700,1.3000,60,K_%,date1,C_fusion,83
XGBoost,-0.3686,-0.7653,0.8109,0.8224,0.6566,0.8500,1.2700,60,K_%,date1,A_multi,49
PLSR,-0.4529,-0.7374,0.7122,0.8474,0.6904,0.8300,1.2400,60,K_%,date1,A_multi,49
GBR,-0.5998,-0.9924,0.6595,0.8892,0.7367,0.7900,1.1800,60,K_%,date1,A_multi,49
PLSR,-339.3341,-301.9969,601.3839,12.9695,2.4110,0.0500,0.0800,60,K_%,date1,C_fusion,83
PLSR,-1044.2198,-928.5366,1853.3041,22.7286,3.7571,0.0300,0.0500,60,K_%,date1,B_hyper,34
ElasticNet,-0.0360,-0.1777,0.2871,0.1076,0.0831,0.9800,1.0900,60,Mg_%,date1,A_multi,49
ElasticNet,-0.0360,-0.1777,0.2871,0.1076,0.0831,0.9800,1.0900,60,Mg_%,date1,B_hyper,34
ElasticNet,-0.0360,-0.1777,0.2871,0.1076,0.0831,0.9800,1.0900,60,Mg_%,date1,C_fusion,83
SVR,-0.0368,-0.3325,0.7471,0.1076,0.0884,0.9800,1.0800,60,Mg_%,date1,A_multi,49
RF,-0.1006,-0.3296,0.6452,0.1109,0.0865,0.9500,1.0500,60,Mg_%,date1,A_multi,49
SVR,-0.1460,-0.4545,0.8001,0.1132,0.0886,0.9300,1.0300,60,Mg_%,date1,B_hyper,34
GBR,-0.2067,-0.3911,0.4203,0.1161,0.0877,0.9100,1.0100,60,Mg_%,date1,A_multi,49
RF,-0.2192,-0.5328,0.7266,0.1167,0.0920,0.9100,1.0000,60,Mg_%,date1,C_fusion,83
PLSR,-0.2412,-0.5866,0.7149,0.1178,0.0895,0.9000,0.9900,60,Mg_%,date1,A_multi,49
SVR,-0.2853,-0.8034,1.5107,0.1198,0.0955,0.8800,0.9700,60,Mg_%,date1,C_fusion,83
RF,-0.3014,-0.6283,0.7502,0.1206,0.0942,0.8800,0.9700,60,Mg_%,date1,B_hyper,34
XGBoost,-0.3772,-0.5339,0.5551,0.1241,0.0945,0.8500,0.9400,60,Mg_%,date1,A_multi,49
GBR,-0.4734,-1.1384,1.4494,0.1283,0.1038,0.8200,0.9100,60,Mg_%,date1,C_fusion,83
XGBoost,-0.6091,-1.0428,1.1831,0.1341,0.1035,0.7900,0.8700,60,Mg_%,date1,C_fusion,83
GBR,-0.6429,-1.2494,1.2609,0.1355,0.1074,0.7800,0.8600,60,Mg_%,date1,B_hyper,34
XGBoost,-0.9484,-1.5278,1.3019,0.1476,0.1146,0.7200,0.7900,60,Mg_%,date1,B_hyper,34
PLSR,-516.9604,-936.1031,1866.4727,2.4058,0.4561,0.0400,0.0500,60,Mg_%,date1,C_fusion,83
PLSR,-4287.1622,-7764.2081,15524.0497,6.9222,1.0083,0.0200,0.0200,60,Mg_%,date1,B_hyper,34
ElasticNet,-0.0182,-0.7383,1.4225,24.0054,16.1107,0.9900,0.6600,60,Mn_мг_кг,date1,A_multi,49
RF,-0.0787,-0.8412,1.4562,24.7090,17.1656,0.9600,0.6500,60,Mn_мг_кг,date1,A_multi,49
SVR,-0.1201,-0.2860,0.1874,25.1779,14.6141,0.9400,0.6300,60,Mn_мг_кг,date1,C_fusion,83
SVR,-0.1243,-0.2991,0.1928,25.2257,14.6181,0.9400,0.6300,60,Mn_мг_кг,date1,B_hyper,34
SVR,-0.1297,-0.2671,0.1574,25.2856,14.4948,0.9400,0.6300,60,Mn_мг_кг,date1,A_multi,49
GBR,-0.2242,-0.8997,1.1905,26.3220,18.0459,0.9000,0.6100,60,Mn_мг_кг,date1,A_multi,49
RF,-0.4068,-3.0909,5.6866,28.2175,20.4421,0.8400,0.5700,60,Mn_мг_кг,date1,C_fusion,83
RF,-0.4622,-3.5605,6.5860,28.7670,20.8677,0.8300,0.5500,60,Mn_мг_кг,date1,B_hyper,34
XGBoost,-0.4781,-1.3588,1.5994,28.9235,19.2958,0.8200,0.5500,60,Mn_мг_кг,date1,A_multi,49
GBR,-0.5010,-2.9614,5.0536,29.1468,20.8908,0.8200,0.5500,60,Mn_мг_кг,date1,C_fusion,83
GBR,-0.7372,-3.4765,5.7017,31.3564,21.8091,0.7600,0.5100,60,Mn_мг_кг,date1,B_hyper,34
XGBoost,-0.8461,-3.6371,5.5363,32.3238,22.3285,0.7400,0.4900,60,Mn_мг_кг,date1,B_hyper,34
XGBoost,-1.0891,-6.0008,10.6510,34.3854,23.4938,0.6900,0.4600,60,Mn_мг_кг,date1,C_fusion,83
PLSR,-1.2829,-2.5510,2.4293,35.9456,23.5249,0.6600,0.4400,60,Mn_мг_кг,date1,A_multi,49
ElasticNet,-26.7276,-40.7797,77.7058,125.2720,32.5218,0.1900,0.1300,60,Mn_мг_кг,date1,C_fusion,83
ElasticNet,-41.3794,-62.4935,120.4308,154.8729,37.0440,0.1500,0.1000,60,Mn_мг_кг,date1,B_hyper,34
PLSR,-395.7499,-590.8886,1152.5120,473.8672,93.7702,0.0500,0.0300,60,Mn_мг_кг,date1,C_fusion,83
PLSR,-2294.3761,-3380.9219,6740.4623,1139.7910,176.4217,0.0200,0.0100,60,Mn_мг_кг,date1,B_hyper,34
SVR,0.0939,-0.0351,0.5248,0.4652,0.3661,1.0500,1.2800,60,N_%,date1,A_multi,49
SVR,0.0450,-0.0799,0.3971,0.4775,0.3859,1.0200,1.2500,60,N_%,date1,C_fusion,83
SVR,-0.0199,-0.0550,0.1541,0.4935,0.4040,0.9900,1.2100,60,N_%,date1,B_hyper,34
ElasticNet,-0.0205,-0.0787,0.1206,0.4936,0.3802,0.9900,1.2100,60,N_%,date1,A_multi,49
ElasticNet,-0.0205,-0.0787,0.1206,0.4936,0.3802,0.9900,1.2100,60,N_%,date1,B_hyper,34
ElasticNet,-0.0205,-0.0787,0.1206,0.4936,0.3802,0.9900,1.2100,60,N_%,date1,C_fusion,83
RF,-0.0340,-0.1631,0.5486,0.4969,0.3872,0.9800,1.2000,60,N_%,date1,A_multi,49
RF,-0.0643,-0.1462,0.1887,0.5041,0.4107,0.9700,1.1800,60,N_%,date1,C_fusion,83
RF,-0.0919,-0.1583,0.1756,0.5106,0.4229,0.9600,1.1700,60,N_%,date1,B_hyper,34
GBR,-0.1187,-0.2255,0.2232,0.5168,0.4071,0.9500,1.1500,60,N_%,date1,C_fusion,83
GBR,-0.1280,-0.1944,0.1016,0.5190,0.4184,0.9400,1.1500,60,N_%,date1,B_hyper,34
GBR,-0.1563,-0.2966,0.6431,0.5254,0.4068,0.9300,1.1300,60,N_%,date1,A_multi,49
XGBoost,-0.2916,-0.4449,0.7711,0.5554,0.4189,0.8800,1.0700,60,N_%,date1,A_multi,49
XGBoost,-0.3190,-0.3932,0.1590,0.5612,0.4414,0.8700,1.0600,60,N_%,date1,B_hyper,34
XGBoost,-0.3817,-0.5139,0.5783,0.5744,0.4457,0.8500,1.0400,60,N_%,date1,C_fusion,83
PLSR,-0.7060,-0.8599,0.8214,0.6382,0.4371,0.7700,0.9300,60,N_%,date1,A_multi,49
PLSR,-58.4870,-78.5372,156.4260,3.7689,0.8792,0.1300,0.1600,60,N_%,date1,C_fusion,83
PLSR,-120.2260,-161.2037,320.5119,5.3802,1.1929,0.0900,0.1100,60,N_%,date1,B_hyper,34
ElasticNet,-0.0652,-0.2376,0.1527,0.0738,0.0588,0.9700,1.1900,60,P_%,date1,A_multi,49
ElasticNet,-0.0652,-0.2376,0.1527,0.0738,0.0588,0.9700,1.1900,60,P_%,date1,B_hyper,34
ElasticNet,-0.0652,-0.2376,0.1527,0.0738,0.0588,0.9700,1.1900,60,P_%,date1,C_fusion,83
SVR,-0.1051,-0.3366,0.3350,0.0751,0.0643,0.9500,1.1600,60,P_%,date1,A_multi,49
SVR,-0.1138,-0.3172,0.2744,0.0754,0.0625,0.9500,1.1600,60,P_%,date1,C_fusion,83
SVR,-0.1296,-0.3400,0.2994,0.0760,0.0609,0.9400,1.1500,60,P_%,date1,B_hyper,34
RF,-0.1662,-0.3390,0.1830,0.0772,0.0626,0.9300,1.1300,60,P_%,date1,A_multi,49
GBR,-0.2099,-0.3851,0.4106,0.0786,0.0629,0.9100,1.1100,60,P_%,date1,A_multi,49
RF,-0.2224,-0.4504,0.2798,0.0790,0.0647,0.9000,1.1100,60,P_%,date1,C_fusion,83
RF,-0.2232,-0.4544,0.3421,0.0790,0.0641,0.9000,1.1100,60,P_%,date1,B_hyper,34
GBR,-0.2621,-0.4691,0.1981,0.0803,0.0678,0.8900,1.0900,60,P_%,date1,C_fusion,83
GBR,-0.4105,-0.6608,0.3241,0.0849,0.0715,0.8400,1.0300,60,P_%,date1,B_hyper,34
XGBoost,-0.4538,-0.7713,0.5088,0.0862,0.0705,0.8300,1.0200,60,P_%,date1,B_hyper,34
XGBoost,-0.5082,-0.7035,0.2360,0.0878,0.0699,0.8100,1.0000,60,P_%,date1,A_multi,49
XGBoost,-0.5638,-0.8752,0.5801,0.0894,0.0751,0.8000,0.9800,60,P_%,date1,C_fusion,83
PLSR,-1.0787,-1.2826,1.0612,0.1030,0.0769,0.6900,0.8500,60,P_%,date1,A_multi,49
PLSR,-970.4608,-938.3905,1871.1270,2.2275,0.3811,0.0300,0.0400,60,P_%,date1,C_fusion,83
PLSR,-1672.7405,-1616.9853,3229.3193,2.9239,0.4639,0.0200,0.0300,60,P_%,date1,B_hyper,34
ElasticNet,-0.0193,-0.0727,0.0690,0.0541,0.0431,0.9900,1.4800,60,S_%,date1,A_multi,49
ElasticNet,-0.0193,-0.0727,0.0690,0.0541,0.0431,0.9900,1.4800,60,S_%,date1,B_hyper,34
ElasticNet,-0.0193,-0.0727,0.0690,0.0541,0.0431,0.9900,1.4800,60,S_%,date1,C_fusion,83
SVR,-0.0566,-0.1286,0.0905,0.0550,0.0441,0.9700,1.4500,60,S_%,date1,B_hyper,34
SVR,-0.0702,-0.1702,0.2318,0.0554,0.0445,0.9700,1.4400,60,S_%,date1,C_fusion,83
RF,-0.1018,-0.2147,0.3075,0.0562,0.0449,0.9500,1.4200,60,S_%,date1,C_fusion,83
RF,-0.1151,-0.2450,0.2093,0.0565,0.0452,0.9500,1.4200,60,S_%,date1,B_hyper,34
GBR,-0.1262,-0.3340,0.5878,0.0568,0.0459,0.9400,1.4100,60,S_%,date1,C_fusion,83
RF,-0.2033,-0.4753,0.7575,0.0587,0.0464,0.9100,1.3600,60,S_%,date1,A_multi,49
GBR,-0.2251,-0.4323,0.3506,0.0593,0.0498,0.9000,1.3500,60,S_%,date1,B_hyper,34
XGBoost,-0.2611,-0.4245,0.5552,0.0601,0.0477,0.8900,1.3300,60,S_%,date1,C_fusion,83
XGBoost,-0.3389,-0.5656,0.4976,0.0619,0.0511,0.8600,1.2900,60,S_%,date1,B_hyper,34
XGBoost,-0.3797,-0.8392,0.9824,0.0629,0.0505,0.8500,1.2700,60,S_%,date1,A_multi,49
SVR,-0.4827,-0.7909,1.0808,0.0652,0.0522,0.8200,1.2300,60,S_%,date1,A_multi,49
GBR,-0.5559,-1.0525,0.9802,0.0668,0.0541,0.8000,1.2000,60,S_%,date1,A_multi,49
PLSR,-5.6799,-8.5360,15.5770,0.1384,0.0620,0.3900,0.5800,60,S_%,date1,A_multi,49
PLSR,-1054.1278,-699.3821,1396.0943,1.7390,0.2775,0.0300,0.0500,60,S_%,date1,C_fusion,83
PLSR,-1686.8173,-1119.1844,2233.9396,2.1994,0.3464,0.0200,0.0400,60,S_%,date1,B_hyper,34
ElasticNet,-0.0619,-0.5219,0.8679,20.3568,13.1998,0.9700,0.4000,60,Zn_мг_кг,date1,A_multi,49
SVR,-0.0739,-0.1115,0.0857,20.4709,10.8635,0.9600,0.4000,60,Zn_мг_кг,date1,B_hyper,34
SVR,-0.0767,-0.0814,0.0946,20.4983,10.8848,0.9600,0.4000,60,Zn_мг_кг,date1,A_multi,49
SVR,-0.0801,-0.1088,0.0853,20.5299,10.9682,0.9600,0.4000,60,Zn_мг_кг,date1,C_fusion,83
RF,-0.1486,-0.6435,0.7397,21.1710,14.3910,0.9300,0.3900,60,Zn_мг_кг,date1,A_multi,49
GBR,-0.2986,-0.5980,0.4009,22.5110,14.6839,0.8800,0.3600,60,Zn_мг_кг,date1,A_multi,49
XGBoost,-0.3391,-1.9452,2.6281,22.8591,15.0486,0.8600,0.3600,60,Zn_мг_кг,date1,A_multi,49
RF,-0.3963,-2.2675,3.7556,23.3430,16.3709,0.8500,0.3500,60,Zn_мг_кг,date1,B_hyper,34
RF,-0.4360,-2.2798,3.5122,23.6723,16.6347,0.8300,0.3500,60,Zn_мг_кг,date1,C_fusion,83
GBR,-0.5102,-3.0693,4.9362,24.2760,15.6169,0.8100,0.3400,60,Zn_мг_кг,date1,B_hyper,34
XGBoost,-0.6744,-4.6309,7.8600,25.5620,16.0903,0.7700,0.3200,60,Zn_мг_кг,date1,B_hyper,34
GBR,-0.7415,-3.6760,5.2771,26.0687,17.0964,0.7600,0.3100,60,Zn_мг_кг,date1,C_fusion,83
XGBoost,-1.2173,-4.8571,6.4679,29.4153,19.1523,0.6700,0.2800,60,Zn_мг_кг,date1,C_fusion,83
PLSR,-2.7222,-4.8467,4.4338,38.1119,20.6802,0.5200,0.2100,60,Zn_мг_кг,date1,A_multi,49
ElasticNet,-41.2758,-92.8379,182.9881,128.4418,29.8997,0.1500,0.0600,60,Zn_мг_кг,date1,C_fusion,83
ElasticNet,-42.6948,-95.9067,189.1901,130.5796,30.3764,0.1500,0.0600,60,Zn_мг_кг,date1,B_hyper,34
PLSR,-1050.2915,-2344.6811,4663.4388,640.5042,107.1055,0.0300,0.0100,60,Zn_мг_кг,date1,C_fusion,83
PLSR,-4164.8053,-9276.0041,18533.2768,1274.9991,185.8432,0.0200,0.0100,60,Zn_мг_кг,date1,B_hyper,34
RF,0.0745,0.0125,0.1380,2432.2266,1756.3150,1.0400,1.1000,60,Нитраты_мг_кг,date1,B_hyper,34
XGBoost,0.0564,-0.0375,0.2761,2455.9317,1765.7981,1.0300,1.0900,60,Нитраты_мг_кг,date1,B_hyper,34
RF,0.0213,-0.0123,0.0994,2501.1561,1803.5939,1.0100,1.0700,60,Нитраты_мг_кг,date1,C_fusion,83
GBR,0.0047,-0.0501,0.2753,2522.3298,1738.4220,1.0000,1.0600,60,Нитраты_мг_кг,date1,B_hyper,34
GBR,-0.0030,-0.0381,0.2370,2532.0089,1805.0893,1.0000,1.0500,60,Нитраты_мг_кг,date1,C_fusion,83
XGBoost,-0.1044,-0.2236,0.2861,2656.8992,1954.5043,0.9500,1.0000,60,Нитраты_мг_кг,date1,C_fusion,83
SVR,-0.1306,-0.2333,0.3007,2688.2993,1897.6434,0.9400,0.9900,60,Нитраты_мг_кг,date1,B_hyper,34
SVR,-0.1307,-0.2334,0.3009,2688.3389,1897.5673,0.9400,0.9900,60,Нитраты_мг_кг,date1,C_fusion,83
SVR,-0.1309,-0.2337,0.3016,2688.6455,1897.7527,0.9400,0.9900,60,Нитраты_мг_кг,date1,A_multi,49
ElasticNet,-0.1568,-0.2639,0.3418,2719.2565,1925.3050,0.9300,0.9800,60,Нитраты_мг_кг,date1,A_multi,49
RF,-0.4323,-0.4080,0.5591,3025.7645,2201.3781,0.8400,0.8800,60,Нитраты_мг_кг,date1,A_multi,49
GBR,-0.5928,-0.5821,0.6878,3190.8085,2314.5916,0.7900,0.8400,60,Нитраты_мг_кг,date1,A_multi,49
XGBoost,-1.0415,-1.0973,1.3140,3612.3664,2456.0434,0.7000,0.7400,60,Нитраты_мг_кг,date1,A_multi,49
PLSR,-1.5444,-1.8667,3.4026,4032.8060,2346.8963,0.6300,0.6600,60,Нитраты_мг_кг,date1,A_multi,49
ElasticNet,-73.9893,-99.6399,199.4549,21893.6617,4618.5452,0.1200,0.1200,60,Нитраты_мг_кг,date1,C_fusion,83
ElasticNet,-102.1904,-137.6070,275.3913,25682.5614,4950.3109,0.1000,0.1000,60,Нитраты_мг_кг,date1,B_hyper,34
PLSR,-284.2620,-382.5155,760.5085,42701.2514,8434.8759,0.0600,0.0600,60,Нитраты_мг_кг,date1,C_fusion,83
PLSR,-1109.9683,-1493.3881,2983.9376,84269.3096,13397.3333,0.0300,0.0300,60,Нитраты_мг_кг,date1,B_hyper,34
